Shop name,Shop ID,Shop ID,Order Count,Count of misc payment,Sales (excl. tax),Tax on sales,Sales (incl. tax),Order error adjustments,Tax on order error adjustments,Order error adjustments (incl. tax),Price adjustments (excl. tax),Tax on price adjustments,Price adjustments (incl. tax),Offers on items (incl. tax),Tax on offers on items,Delivery offer redemptions (incl. tax),Tax on delivery offer redemptions,Offer Redemption Fee,Marketing adjustment,Bag fee,Marketplace Fee,Tax on Marketplace Fee,Delivery network fee,Tax on delivery network fee,Order processing fee,Total sales after adjustments (incl. tax),Capital payments,Other payments,Marketplace facilitator tax,Backup withholding tax,Total payout ,Payout date,Payout reference ID
McDonald's® (W. Altadena),b4515eb1-36b4-4dc5-afd1-ba6e92b00830,11949,126,21,3278.4,315.74,3594.14,-36.95,-6.16,-43.11,0,0,0,-236.36,-24.14,0,0,0,0,0,-462.33,0,0,0,0,3357.78,0,-203.44,-285.44,0,2348.28,15/09/2025,NNSYWVTA7D3AOOT
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,92,13,2002.89,192.55,2195.44,-74.4,-7.38,-81.78,0,0,0,-248.32,-24.99,0,0,0,0,0,-269.6,0,0,0,0,1947.12,0,-51.05,-160.18,0,1359.52,02/09/2025,PQA2W7J9HVWXQSF
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,138,8,3262.48,320.43,3582.91,-56.8,-5.66,-62.46,0,0,0,-329.77,-34.34,0,0,0,0,0,-452.62,0,0,0,0,3253.14,0,-86.92,-280.43,0,2422.33,08/09/2025,VZ5BHO7YT4J17MB
McDonald's® (2310 W. COMMONWEALTH),2a9bba74-69c2-42f3-b196-92daa39c535e,34882,181,19,4131.76,400.94,4532.7,-53.34,-7.54,-60.88,0,0,0,-369.04,-38.34,0,0,0,0,0,-580.92,0,0,0,0,4163.66,0,-192.72,-355.06,0,2947.9,15/09/2025,RM603NU1N3LZJ3X
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,144,12,3430.01,325.75,3755.76,-103.77,-9.55,-113.32,0,0,0,-382.09,-37.38,0,0,0,0,0,-465.55,0,0,0,0,3373.67,0,-55.52,-278.82,0,2423.08,02/09/2025,WNIB4308BXKJ15M
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,149,14,3686.09,359.46,4045.55,-102.89,-13.15,-116.04,0,0,0,-332.71,-34.49,0,0,0,0,0,-509.6,0,0,0,0,3712.84,0,-152.94,-311.82,0,2619.93,08/09/2025,4E84TO3PUY6HR2Q
McDonald's® (Glendora),e564063f-c4db-401f-b30c-98b41e888739,17547,95,19,2316.25,223.51,2539.76,9.44,-1.25,8.19,0,0,0,-333.22,-34.58,0,0,0,0,0,-304.25,0,0,0,0,2206.54,0,-118.44,-187.68,0,1585.78,15/09/2025,DGMJAPT7UKQ7WZ1
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,267,12,6373.76,587.48,6961.24,-47.28,-4.31,-51.59,0,0,0,-637.3,-60.44,0,0,0,0,26.7,-887.66,0,0,0,0,6350.64,0,-80.95,-522.73,0,4747.27,02/09/2025,G15WY5MBJ7L2VDJ
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,261,16,6637.32,612.04,7249.36,-43.63,-4.14,-47.77,0,0,0,-622.39,-61.52,0,0,0,0,26.1,-927.29,0,0,0,0,6653.07,0,-176.98,-546.38,0,5011.71,08/09/2025,XEJOOS7J8VP5SPW
McDonald's® (L.A. - Huntington),7fbe53bb-1cdd-4da6-958c-13669c7839c0,4310,253,19,6142.92,563,6705.92,-53.36,-6.54,-59.9,0,0,0,-605.13,-60.38,0,0,0,0,25.3,-851.64,0,0,0,0,6126.09,0,-185.61,-496.08,0,4491.68,15/09/2025,N2TW17CRHBOLE14
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,187,14,4013.42,359.62,4373.04,-28.36,-2.35,-30.71,0,0,0,-415.12,-38.59,0,0,0,0,18.7,-554.14,0,0,0,0,3976.62,0,-207.48,-318.68,0,2827.02,02/09/2025,DRBNFWYSHVW0YQY
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,219,16,5243.65,469.54,5713.19,-31.55,-3.15,-34.7,0,0,0,-584.54,-56.52,0,0,0,0,21.9,-719.71,0,0,0,0,5150.55,0,-130.55,-409.87,0,3922.71,08/09/2025,KQDAYEFV99QSH32
McDonald's® (L.A. - 50Th/Figueroa),72df6cad-e604-4e19-97cc-42b8e674a5ce,26929,224,19,5401.56,473.3,5874.86,-26.53,-3.02,-29.55,0,0,0,-479.18,-46.83,0,0,0,0,22.4,-763.01,0,0,0,0,5418.08,0,-160.44,-423.45,0,4023.6,15/09/2025,CNLNF3UWNOYGOVE
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,238,14,5578.05,544.15,6122.2,-32.33,-2.77,-35.1,0,0,0,-749.28,-75.95,0,0,0,0,0,-745.72,0,0,0,0,5372.92,0,-90.37,-465.43,0,3960.35,02/09/2025,1GUS9FNNW30PIEA
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,239,16,5785.75,563.17,6348.92,-38.46,-2.93,-41.39,0,0,0,-735.78,-76.85,0,0,0,0,0,-781.56,0,0,0,0,5613.14,0,-172.95,-483.39,0,4170.91,08/09/2025,61BR42AIWVUJUOO
McDonald's® (Pasadena),8b199a27-009b-49be-97ce-823d7a753aea,15449,281,18,6168.89,602.23,6771.12,-25.73,-6.58,-32.31,0,0,0,-601.82,-62.57,0,0,0,0,0,-861.04,0,0,0,0,6169.3,0,-186.57,-533.08,0,4523.17,15/09/2025,GKOBSII1ITDMF09
